가맹점명,전화번호,주소,데이터기준일자
서귀포농업협동조합중앙지점,064-733-1645,제주특별자치도 서귀포시 516로 40,2024-05-20
노리파크서귀포점,070-8147-6089,제주특별자치도 서귀포시 516로 40,2024-05-20
서귀포농협하나로마트,064-767-5101,제주특별자치도 서귀포시 516로 40-1,2024-05-20
서귀포농협웨딩홀,064-767-5101,제주특별자치도 서귀포시 516로 40-1,2024-05-20
뚜레쥬르서귀포하나로마트점/서귀포농협하,064-767-5101,제주특별자치도 서귀포시 516로 40-1,2024-05-20
돈내코쌍둥이네식당,064-733-0869,제주특별자치도 서귀포시 516로 452,2024-05-20
돈내코늘봄식당,064-733-7334,제주특별자치도 서귀포시 516로 462,2024-05-20
돈내코장원식당,064-733-2933,제주특별자치도 서귀포시 516로 466,2024-05-20
씨유(CU) 서귀포돈내코점,,제주특별자치도 서귀포시 516로 466,2024-05-20
점심,064-733-0011,제주특별자치도 서귀포시 516로 472,2024-05-20
동백반점,,제주특별자치도 서귀포시 516로 537,2024-05-20
솥뚜껑흑돼지,064-763-3335,제주특별자치도 서귀포시 516로 574-23,2024-05-20
서귀포평양옥,064-767-1253,제주특별자치도 서귀포시 516로 574-23,2024-05-20
제주방앗간,,제주특별자치도 서귀포시 516로 574-23,2024-05-20
사우스포레스트,,제주특별자치도 서귀포시 516로 574-23,2024-05-20
양마단지상회,064-733-4968,제주특별자치도 서귀포시 516로 574-5,2024-05-20
은희네해장국서귀포점,064-767-0039,제주특별자치도 서귀포시 516로 84,2024-05-20
솔채,064-732-9995,제주특별자치도 서귀포시 516로 87,2024-05-20
호루의 한끼,,제주특별자치도 서귀포시 516로277번길 29,2024-05-20
가온,,제주특별자치도 서귀포시 516로436번길 7-20,2024-05-20
달소랑,064-733-8233,제주특별자치도 서귀포시 516로97번길 2,2024-05-20
매모루 축산,064-738-5233,제주특별자치도 서귀포시 강정동,2024-05-20
메모루식당,064-739-0143,제주특별자치도 서귀포시 강정동,2024-05-20
유성마트,064-739-0333,제주특별자치도 서귀포시 강정동,2024-05-20
왕대왓,064-739-0916,제주특별자치도 서귀포시 강정동,2024-05-20
강정코사슈퍼마켓,064-739-2213,제주특별자치도 서귀포시 강정동,2024-05-20
왕대왓,,제주특별자치도 서귀포시 강정동,2024-05-20
갈비 미,064-738-8292,제주특별자치도 서귀포시 강정통물로 1,2024-05-20
빛나네,064-739-0918,제주특별자치도 서귀포시 강정통물로 101,2024-05-20
강정노을,,제주특별자치도 서귀포시 강정통물로 125-10,2024-05-20
신선국수,064-739-2590,제주특별자치도 서귀포시 강정하로 102,2024-05-20
뿐이네 밥집,,제주특별자치도 서귀포시 검은여로 178,2024-05-20
서가앤쿡서귀포시토평점,064-901-8006,제주특별자치도 서귀포시 검은여로 191,2024-05-20
검은여닭도가니,064-733-3030,제주특별자치도 서귀포시 검은여로 4,2024-05-20
제주 봄,064-732-6500,제주특별자치도 서귀포시 검은여로130번길 68-16,2024-05-20
쇠소깍작은공원,064-767-3117,제주특별자치도 서귀포시 과원동로 26-4,2024-05-20
씨유서귀포효돈중앙점,064-726-7050,제주특별자치도 서귀포시 과원동로 3,2024-05-20
(주)별돈별,064-739-5895,제주특별자치도 서귀포시 구산봉로 61,2024-05-20
페리카나신시가지점,064-739-6949,제주특별자치도 서귀포시 김정문화로,2024-05-20
서귀포차,,제주특별자치도 서귀포시 김정문화로 1,2024-05-20
GS25 빠레브호텔점,,제주특별자치도 서귀포시 김정문화로 15,2024-05-20
중앙도서관 구내식당,,제주특별자치도 서귀포시 김정문화로 32,2024-05-20
국수냐국밥이냐,064-739-3382,제주특별자치도 서귀포시 김정문화로 39,2024-05-20
자연수산,064-739-8588,제주특별자치도 서귀포시 김정문화로 39,2024-05-20
케미이모,,제주특별자치도 서귀포시 김정문화로 39,2024-05-20
코코리코 케이크(COCORICO KAKE),,제주특별자치도 서귀포시 김정문화로 39,2024-05-20
세븐일레븐 서귀포라메르점,,제주특별자치도 서귀포시 김정문화로 47,2024-05-20
신전떡볶이신서귀포점,,제주특별자치도 서귀포시 김정문화로 47,2024-05-20
바삭신서귀포점,064-738-0911,제주특별자치도 서귀포시 김정문화로 5,2024-05-20
마루샤브제주서귀포점,064-802-3000,제주특별자치도 서귀포시 김정문화로 51,2024-05-20
마루샤브제주서귀포점,064-802-3042,제주특별자치도 서귀포시 김정문화로 51,2024-05-20
세븐일레븐 서귀포밸류호텔점,,제주특별자치도 서귀포시 김정문화로 51,2024-05-20
세븐일레븐서귀포벨류호텔점,,제주특별자치도 서귀포시 김정문화로 51,2024-05-20
섬사람,064-738-1221,제주특별자치도 서귀포시 김정문화로 52,2024-05-20
코덕,064-739-9245,제주특별자치도 서귀포시 김정문화로 52,2024-05-20
오늘은 춘봉이네,064-738-3523,제주특별자치도 서귀포시 김정문화로 59,2024-05-20
제주삼다국수,064-739-3167,제주특별자치도 서귀포시 김정문화로 59-1,2024-05-20
제주삼다국수,,제주특별자치도 서귀포시 김정문화로 59-1,2024-05-20
스톤,,제주특별자치도 서귀포시 김정문화로 6,2024-05-20
뷰티몬스터,,제주특별자치도 서귀포시 김정문화로 6,2024-05-20
자담치킨 혁신도시점,064-738-9005,제주특별자치도 서귀포시 김정문화로 60,2024-05-20
한라해장국,064-739-7260,제주특별자치도 서귀포시 김정문화로 60,2024-05-20
서귀포농업협동조합 새서귀지점,064-739-5103,제주특별자치도 서귀포시 김정문화로 61,2024-05-20
씨유제주서호점,064-739-2484,제주특별자치도 서귀포시 김정문화로 63,2024-05-20
복음이네 김밥만두,064-738-0805,제주특별자치도 서귀포시 김정문화로 64,2024-05-20
시끌벅적분식,064-738-7277,제주특별자치도 서귀포시 김정문화로 66,2024-05-20
더벤티서귀포신시가지점,064-735-0885,제주특별자치도 서귀포시 김정문화로 67-1,2024-05-20
괸당집신시가지점,064-739-8333,제주특별자치도 서귀포시 김정문화로 67-1,2024-05-20
신도시정육점,064-739-3445,제주특별자치도 서귀포시 김정문화로 69,2024-05-20
신도시정육식당,064-739-3445,제주특별자치도 서귀포시 김정문화로 69,2024-05-20
신시가지안성식당,064-739-2220,제주특별자치도 서귀포시 김정문화로 69-1,2024-05-20
남호식당,064-739-8375,제주특별자치도 서귀포시 김정문화로 7,2024-05-20
최고집,064-739-4777,제주특별자치도 서귀포시 김정문화로 71,2024-05-20
달쥬,064-739-4830,제주특별자치도 서귀포시 김정문화로 9,2024-05-20
더블유,064-758-6280,제주특별자치도 서귀포시 김정문화로 9,2024-05-20
애월연어신서귀포점,,제주특별자치도 서귀포시 김정문화로 9,2024-05-20
명륜진사갈비신서귀포점,064-738-0190,제주특별자치도 서귀포시 김정문화로27번길 10-3,2024-05-20
마농삼계탕,064-794-9987,제주특별자치도 서귀포시 김정문화로27번길 23-7,2024-05-20
스위트메이서귀포호텔,,제주특별자치도 서귀포시 김정문화로27번길 9-1,2024-05-20
레몬비 스위트메이호텔점,,제주특별자치도 서귀포시 김정문화로27번길 9-1,2024-05-20
씨유신서귀로점,,제주특별자치도 서귀포시 김정문화로27번길 9-6,2024-05-20
제이현키친,070-8064-0434,제주특별자치도 서귀포시 김정문화로41번길 10-1,2024-05-20
제쭈서귀포시신시가지점,,제주특별자치도 서귀포시 김정문화로41번길 10-1,2024-05-20
고기택배가는남자신시가지점,,제주특별자치도 서귀포시 김정문화로41번길 10-1,2024-05-20
치킨플러스서귀포혁신도시점,,제주특별자치도 서귀포시 김정문화로41번길 10-1,2024-05-20
제주비스타케이월드컵,064-802-7000,제주특별자치도 서귀포시 김정문화로41번길 10-6,2024-05-20
처갓집양념치킨서귀포신시가지점,064-739-9279,제주특별자치도 서귀포시 김정문화로41번길 24-5,2024-05-20
참치토로,,제주특별자치도 서귀포시 김정문화로41번길 24-5,2024-05-20
연남물갈비서귀포점,064-738-0129,제주특별자치도 서귀포시 김정문화로41번길 3,2024-05-20
에어라인,,제주특별자치도 서귀포시 김정문화로41번길 5-2,2024-05-20
다담,070-8864-3485,제주특별자치도 서귀포시 난산로36번길 14-5,2024-05-20
삼시세끼,,제주특별자치도 서귀포시 남선동산로 42,2024-05-20
썬샤인코스트,,제주특별자치도 서귀포시 남성로 116,2024-05-20
곰이당,064-732-1183,제주특별자치도 서귀포시 남성로 122,2024-05-20
블라썸,064-732-4045,제주특별자치도 서귀포시 남성로 136,2024-05-20
꽃이피다1,,제주특별자치도 서귀포시 남성로 136,2024-05-20
별빛옥상,064-762-2253,제주특별자치도 서귀포시 남성로 140,2024-05-20
씨유(CU) 서귀외돌개점,,제주특별자치도 서귀포시 남성중로 131,2024-05-20
플리,,제주특별자치도 서귀포시 남성중로 169,2024-05-20
고부루키친,064-744-1065,제주특별자치도 서귀포시 남성중로 171,2024-05-20
천지연탐라조림,064-763-2857,제주특별자치도 서귀포시 남성중로 2-11,2024-05-20
돌하루방국수,064-763-2858,제주특별자치도 서귀포시 남성중로 2-11,2024-05-20
펠릭스,,제주특별자치도 서귀포시 남성중로 2-11,2024-05-20
장수애섬식당,064-763-2999,제주특별자치도 서귀포시 남성중로 2-3,2024-05-20
섬사랑,064-784-8382,제주특별자치도 서귀포시 남성중로 2-3,2024-05-20
씨유(CU) 서귀포천지연점,,제주특별자치도 서귀포시 남성중로 2-3,2024-05-20
천지연전복해물뚝배기갈치요리전문,,제주특별자치도 서귀포시 남성중로 2-3,2024-05-20
바다가는길,064-732-3008,제주특별자치도 서귀포시 남성중로 40,2024-05-20
서귀동어촌계해녀의집,064-732-7869,제주특별자치도 서귀포시 남성중로 40,2024-05-20
서귀동어촌계해녀의집,,제주특별자치도 서귀포시 남성중로 40,2024-05-20
삼매봉153,,제주특별자치도 서귀포시 남성중로153번길 15,2024-05-20
어촌식당,064-673-3358,제주특별자치도 서귀포시 남원읍,2024-05-20
농업회사법인휴애리주식회사,064-732-2114,제주특별자치도 서귀포시 남원읍,2024-05-20
위미농업협동조합하례2리지점,064-733-2783,제주특별자치도 서귀포시 남원읍,2024-05-20
황금륭빅버거예이츠,064-733-6298,제주특별자치도 서귀포시 남원읍,2024-05-20
위미농협하례지소,064-760-1060,제주특별자치도 서귀포시 남원읍,2024-05-20
길갈영농조합법인,064-764-0055,제주특별자치도 서귀포시 남원읍,2024-05-20
신팔도강산,064-764-0168,제주특별자치도 서귀포시 남원읍,2024-05-20
한남제주재래닭농원식당,064-764-0538,제주특별자치도 서귀포시 남원읍,2024-05-20
삼덕고깃집,064-764-0893,제주특별자치도 서귀포시 남원읍,2024-05-20
위미농업협동조합,064-764-1082,제주특별자치도 서귀포시 남원읍,2024-05-20
위미단위농협,064-764-1083,제주특별자치도 서귀포시 남원읍,2024-05-20
위미단위농협,064-764-1083,제주특별자치도 서귀포시 남원읍,2024-05-20
남원단위농업협동조합,064-764-1537,제주특별자치도 서귀포시 남원읍,2024-05-20
남원단위농업협동조합,064-764-1537,제주특별자치도 서귀포시 남원읍,2024-05-20
오뚜기과자점,064-764-1888,제주특별자치도 서귀포시 남원읍,2024-05-20
수악관식당,064-764-2267,제주특별자치도 서귀포시 남원읍,2024-05-20
신제가든,064-764-2659,제주특별자치도 서귀포시 남원읍,2024-05-20
남원농업협동조합,064-764-2704,제주특별자치도 서귀포시 남원읍,2024-05-20
태흥횟집,064-764-2896,제주특별자치도 서귀포시 남원읍,2024-05-20
귤향기농수산물직판장편의점,064-764-3566,제주특별자치도 서귀포시 남원읍,2024-05-20
떳다분식,064-764-3881,제주특별자치도 서귀포시 남원읍,2024-05-20
올레길설렁탕,064-764-3919,제주특별자치도 서귀포시 남원읍,2024-05-20
태흥3리어촌계,064-764-4009,제주특별자치도 서귀포시 남원읍,2024-05-20
운선회관,064-764-4178,제주특별자치도 서귀포시 남원읍,2024-05-20
평화슈퍼,064-764-4244,제주특별자치도 서귀포시 남원읍,2024-05-20
신라떡집,064-764-4888,제주특별자치도 서귀포시 남원읍,2024-05-20
남원슈퍼,064-764-4964,제주특별자치도 서귀포시 남원읍,2024-05-20
남원떡집,064-764-5030,제주특별자치도 서귀포시 남원읍,2024-05-20
육값하네식육가든,064-764-5053,제주특별자치도 서귀포시 남원읍,2024-05-20
청아식당,064-764-5119,제주특별자치도 서귀포시 남원읍,2024-05-20
위미농협하나로마트,064-764-5435,제주특별자치도 서귀포시 남원읍,2024-05-20
태경식당,064-764-5556,제주특별자치도 서귀포시 남원읍,2024-05-20
맛고은승미한과,064-764-5583,제주특별자치도 서귀포시 남원읍,2024-05-20
태양식육점,064-764-5683,제주특별자치도 서귀포시 남원읍,2024-05-20
제주남원농협사업소,064-764-5982,제주특별자치도 서귀포시 남원읍,2024-05-20
제주남원농협농자재백화점,064-764-5982,제주특별자치도 서귀포시 남원읍,2024-05-20
제주남원농협태흥지점,064-764-5988,제주특별자치도 서귀포시 남원읍,2024-05-20
위미1리어촌계,064-764-7177,제주특별자치도 서귀포시 남원읍,2024-05-20
남제주마트,064-764-7557,제주특별자치도 서귀포시 남원읍,2024-05-20
큰엉식당,064-764-7789,제주특별자치도 서귀포시 남원읍,2024-05-20
제남가든,064-764-8000,제주특별자치도 서귀포시 남원읍,2024-05-20
신흥동백가든,064-764-8589,제주특별자치도 서귀포시 남원읍,2024-05-20
오델로남원점,064-764-9200,제주특별자치도 서귀포시 남원읍,2024-05-20
남원농업협동조합의귀지점,064-766-1550,제주특별자치도 서귀포시 남원읍,2024-05-20
남원농업협동조합신흥지소,064-766-1560,제주특별자치도 서귀포시 남원읍,2024-05-20
남원농업협동조합신흥지소,064-766-1560,제주특별자치도 서귀포시 남원읍,2024-05-20
남원농업협동조합 신흥2리지점,064-766-1580,제주특별자치도 서귀포시 남원읍,2024-05-20
호꼼/신례2리마을회,064-767-0544,제주특별자치도 서귀포시 남원읍,2024-05-20
공천포쌀슈퍼,064-767-0609,제주특별자치도 서귀포시 남원읍,2024-05-20
예촌식당,064-767-1441,제주특별자치도 서귀포시 남원읍,2024-05-20
도우미식당,064-767-2783,제주특별자치도 서귀포시 남원읍,2024-05-20
위미농협사업소간이지소,064-767-3107,제주특별자치도 서귀포시 남원읍,2024-05-20
성읍칠십리식당,064-787-0911,제주특별자치도 서귀포시 남원읍,2024-05-20
한남제주제래닭농원,070-4251-0538,제주특별자치도 서귀포시 남원읍,2024-05-20
넙빌레스토리,070-7718-9300,제주특별자치도 서귀포시 남원읍,2024-05-20
뽕그랑인,,제주특별자치도 서귀포시 남원읍,2024-05-20
주식회사 만세푸드,,제주특별자치도 서귀포시 남원읍,2024-05-20
해비치호텔앤드리조트 주식회사,,제주특별자치도 서귀포시 남원읍,2024-05-20
하례로379,,제주특별자치도 서귀포시 남원읍,2024-05-20
미조리횟집,,제주특별자치도 서귀포시 남원읍,2024-05-20
바당길 서귀포점,,제주특별자치도 서귀포시 남원읍 공천포로 47-4,2024-05-20
게리가,,제주특별자치도 서귀포시 남원읍 공천포로 51,2024-05-20
공새미59,064-732-4757,제주특별자치도 서귀포시 남원읍 공천포로 59-1,2024-05-20
아노록,,제주특별자치도 서귀포시 남원읍 공천포로 65,2024-05-20
현정이네,,제주특별자치도 서귀포시 남원읍 공천포로 77-3,2024-05-20
계절식,,제주특별자치도 서귀포시 남원읍 공천포로 83,2024-05-20
공천포식당,064-767-2425,제주특별자치도 서귀포시 남원읍 공천포로 89,2024-05-20
카페지니,064-733-6798,제주특별자치도 서귀포시 남원읍 공천포로11번길 19,2024-05-20
정밀,,제주특별자치도 서귀포시 남원읍 남원체육관로 187,2024-05-20
백정,,제주특별자치도 서귀포시 남원읍 남원체육관로 187,2024-05-20
만월당/주식회사 다모앙,,제주특별자치도 서귀포시 남원읍 남원체육관로 191,2024-05-20
어멍감자탕,064-764-0018,제주특별자치도 서귀포시 남원읍 남원체육관로 286,2024-05-20
핫도그꽈배기,064-764-7644,제주특별자치도 서귀포시 남원읍 남원체육관로 324,2024-05-20
플라넬,,제주특별자치도 서귀포시 남원읍 남원체육관로 326,2024-05-20
네네치킨남원점,064-764-4499,제주특별자치도 서귀포시 남원읍 남원체육관로 342,2024-05-20
다이빙맛,,제주특별자치도 서귀포시 남원읍 남원체육관로40번길 3,2024-05-20
봉자순두부,064-764-4700,제주특별자치도 서귀포시 남원읍 남원회관로,2024-05-20
포구편의점,,제주특별자치도 서귀포시 남원읍 남원회관로,2024-05-20
바당꽃,,제주특별자치도 서귀포시 남원읍 남원회관로 102,2024-05-20
아주르블루,,제주특별자치도 서귀포시 남원읍 남원회관로 104,2024-05-20
원쭈꾸미,064-764-4886,제주특별자치도 서귀포시 남원읍 남원회관로 14,2024-05-20
정육카페,064-764-9292,제주특별자치도 서귀포시 남원읍 남원회관로 20,2024-05-20
오늘빵집,064-805-9222,제주특별자치도 서귀포시 남원읍 남원회관로 38,2024-05-20
욜로,064-764-2011,제주특별자치도 서귀포시 남원읍 남원회관로 46,2024-05-20
원조남원포구식당,064-764-2663,제주특별자치도 서귀포시 남원읍 남원회관로 53,2024-05-20
빨간맛집남원점,064-764-9282,제주특별자치도 서귀포시 남원읍 남원회관로 55,2024-05-20
오구삼구민물장어아구찜,064-764-5939,제주특별자치도 서귀포시 남원읍 남원회관로 61,2024-05-20
퍼플키즈카페 제주남원점,,제주특별자치도 서귀포시 남원읍 남원회관로 65,2024-05-20
집나간왕새우바람난조개 남원점,,제주특별자치도 서귀포시 남원읍 남원회관로 71,2024-05-20
1번가치킨 피자,064-747-8360,제주특별자치도 서귀포시 남원읍 남원회관로 73,2024-05-20
자매해장국,064-764-0085,제주특별자치도 서귀포시 남원읍 남원회관로 97,2024-05-20
탐나는해물손칼국수,064-764-0120,제주특별자치도 서귀포시 남원읍 남원회관로 97,2024-05-20
징검다리,064-764-0501,제주특별자치도 서귀포시 남원읍 남원회관로 97,2024-05-20
남원소바,064-764-1599,제주특별자치도 서귀포시 남원읍 남원회관로 97,2024-05-20
준이순대국밥,064-764-2474,제주특별자치도 서귀포시 남원읍 남위남성로 10-2,2024-05-20
귤곳간,064-764-7759,제주특별자치도 서귀포시 남원읍 남위남성로 165,2024-05-20
송가네참숯가든,064-764-8181,제주특별자치도 서귀포시 남원읍 남위남성로93번길 67,2024-05-20
수망손칼국수,064-764-7772,제주특별자치도 서귀포시 남원읍 남조로,2024-05-20
육값하네 식육가든,064-764-5053,제주특별자치도 서귀포시 남원읍 남조로 141,2024-05-20
알로하,,제주특별자치도 서귀포시 남원읍 남조로 162-2,2024-05-20
또와국밥,064-764-0782,제주특별자치도 서귀포시 남원읍 남조로 26,2024-05-20
서울돈까스&김밥,064-764-5544,제주특별자치도 서귀포시 남원읍 남조로 26,2024-05-20
제주황칠곰탕,070-4548-0777,제주특별자치도 서귀포시 남원읍 남조로 260,2024-05-20
일품양평해장국,064-764-3337,제주특별자치도 서귀포시 남원읍 남조로 27,2024-05-20
일품순두부남원점,064-764-9001,제주특별자치도 서귀포시 남원읍 남조로 30,2024-05-20
안순네밥집,,제주특별자치도 서귀포시 남원읍 남조로 32,2024-05-20
의귀송원,064-764-5289,제주특별자치도 서귀포시 남원읍 남조로 413-33,2024-05-20
흑돼지일번지,064-764-0011,제주특별자치도 서귀포시 남원읍 남조로 5,2024-05-20
제주남원농협하나로마트,064-764-8400,제주특별자치도 서귀포시 남원읍 남조로 52,2024-05-20
용환슈퍼,064-764-3577,제주특별자치도 서귀포시 남원읍 남조로 571,2024-05-20
수망일기,064-721-7978,제주특별자치도 서귀포시 남원읍 남조로 593-2,2024-05-20
물영아리오름,,제주특별자치도 서귀포시 남원읍 남조로 996,2024-05-20
물영아리식당,,제주특별자치도 서귀포시 남원읍 남조로 996,2024-05-20
소랑벨일공일(101),,제주특별자치도 서귀포시 남원읍 남태해안로 101,2024-05-20
해이당(海利堂),,제주특별자치도 서귀포시 남원읍 남태해안로 118,2024-05-20
서울감자탕2호점,064-764-2612,제주특별자치도 서귀포시 남원읍 남태해안로 137,2024-05-20
해수식당,064-764-3087,제주특별자치도 서귀포시 남원읍 남태해안로 137-1,2024-05-20
엄마표밥상,064-764-6680,제주특별자치도 서귀포시 남원읍 남태해안로 145,2024-05-20
제주어향원,064-803-0026,제주특별자치도 서귀포시 남원읍 남태해안로 155,2024-05-20
청해수산회센터,064-764-3391,제주특별자치도 서귀포시 남원읍 남태해안로 211,2024-05-20
남원당,,제주특별자치도 서귀포시 남원읍 남태해안로 259,2024-05-20
주식회사인포트,,제주특별자치도 서귀포시 남원읍 남태해안로 259,2024-05-20
무제,,제주특별자치도 서귀포시 남원읍 남태해안로 285-11,2024-05-20
해선락와사비,064-764-1619,제주특별자치도 서귀포시 남원읍 남태해안로 335,2024-05-20
에어그라운드,,제주특별자치도 서귀포시 남원읍 남태해안로 439,2024-05-20
간이옥돔역/태흥2리마을회,064-764-9289,제주특별자치도 서귀포시 남원읍 남태해안로 484,2024-05-20
태흥2리어촌계횟집,064-764-4487,제주특별자치도 서귀포시 남원읍 남태해안로 509,2024-05-20
옥돔마을,,제주특별자치도 서귀포시 남원읍 남태해안로 509,2024-05-20
미스카페,064-712-3456,제주특별자치도 서귀포시 남원읍 남태해안로 533,2024-05-20
주식회사 미스터크랩태흥,064-712-3456,제주특별자치도 서귀포시 남원읍 남태해안로 533,2024-05-20
헤븐리,,제주특별자치도 서귀포시 남원읍 남태해안로 75-5,2024-05-20
썬데이지,070-8287-2566,제주특별자치도 서귀포시 남원읍 남태해안로 9,2024-05-20
마당식당,064-764-5989,제주특별자치도 서귀포시 남원읍 남한로 1,2024-05-20
남원수제돈까스,,제주특별자치도 서귀포시 남원읍 남한로 10-1,2024-05-20
푸른솔,064-764-5503,제주특별자치도 서귀포시 남원읍 남한로 11,2024-05-20
우리동네,,제주특별자치도 서귀포시 남원읍 남한로 12,2024-05-20
옥분상회,,제주특별자치도 서귀포시 남원읍 남한로 14,2024-05-20
별맛,064-764-4784,제주특별자치도 서귀포시 남원읍 남한로 22,2024-05-20
카츠소랑,,제주특별자치도 서귀포시 남원읍 남한로 22-1,2024-05-20
호월,,제주특별자치도 서귀포시 남원읍 남한로 418-11,2024-05-20
남원골 정가네 막창,064-764-6600,제주특별자치도 서귀포시 남원읍 남한로 4-6,2024-05-20
세러데이아일랜드,,제주특별자치도 서귀포시 남원읍 남한로21번길 28,2024-05-20
백한철 꽈배기&식빵,064-764-5006,제주특별자치도 서귀포시 남원읍 남한로21번길 56,2024-05-20
하눌타리식당,064-764-6682,제주특별자치도 서귀포시 남원읍 남한로420번길 7,2024-05-20
동백점빵,,제주특별자치도 서귀포시 남원읍 생기악로 53-37,2024-05-20
이승악식당·편의점,064-767-2299,제주특별자치도 서귀포시 남원읍 서성로 308,2024-05-20
이승악식당·편의점,064-767-2299,제주특별자치도 서귀포시 남원읍 서성로 308,2024-05-20
올랄라(OHLALA),,제주특별자치도 서귀포시 남원읍 서성로 427,2024-05-20
씨유서귀스프링데일CC점,,제주특별자치도 서귀포시 남원읍 서성로 459,2024-05-20
머체왓식당,064-805-3112,제주특별자치도 서귀포시 남원읍 서성로 755,2024-05-20
머체왓숲길 영농조합법인,064-805-3113,제주특별자치도 서귀포시 남원읍 서성로 755,2024-05-20
옷귀마테마타운셀프식당/의귀마을영농조합,070-4233-9777,제주특별자치도 서귀포시 남원읍 서성로 955-117,2024-05-20
제주에코식당,064-755-0357,제주특별자치도 서귀포시 남원읍 서성로 986-103,2024-05-20
에코무지개,064-755-0357,제주특별자치도 서귀포시 남원읍 서성로 986-103,2024-05-20
수망골,064-764-2234,제주특별자치도 서귀포시 남원읍 서성로 986-95,2024-05-20
사려니,,제주특별자치도 서귀포시 남원읍 서성로810번길 7,2024-05-20
탐관오리,064-764-5292,제주특별자치도 서귀포시 남원읍 서의로 105,2024-05-20
할렘버거,,제주특별자치도 서귀포시 남원읍 서의로154번길 69,2024-05-20
제주게토,,제주특별자치도 서귀포시 남원읍 서의로154번길 69,2024-05-20
할렘,,제주특별자치도 서귀포시 남원읍 서의로154번길 71,2024-05-20
세븐일레븐 서귀포남원신례점,,제주특별자치도 서귀포시 남원읍 신례동로 2,2024-05-20
미래유통샤니빵대리점,,제주특별자치도 서귀포시 남원읍 신례동로 51,2024-05-20
예촌연수네가든,064-767-3989,제주특별자치도 서귀포시 남원읍 신례동로 60,2024-05-20
연수네,,제주특별자치도 서귀포시 남원읍 신례동로 60,2024-05-20
행복나무,064-767-1600,제주특별자치도 서귀포시 남원읍 신례로,2024-05-20
공새미솥뚜껑,064-767-2582,제주특별자치도 서귀포시 남원읍 신례로 10,2024-05-20
안트레,,제주특별자치도 서귀포시 남원읍 신례로 144,2024-05-20
이치카,,제주특별자치도 서귀포시 남원읍 신례로 308,2024-05-20
한라산풍경,064-702-2308,제주특별자치도 서귀포시 남원읍 신례로 386-1,2024-05-20
한라산풍경,064-732-3055,제주특별자치도 서귀포시 남원읍 신례로 386-1,2024-05-20
더드림밥상,064-767-2215,제주특별자치도 서귀포시 남원읍 신례로 386-14,2024-05-20
지에스25 서귀신례점,,제주특별자치도 서귀포시 남원읍 신례로 386-14,2024-05-20
